Year,LandslideID,Zone,QuadratID,Species_Jp,Coverage_%,Max_H_cm,Species type,Moisture type
2003,65,Initiation,D,Tachitsubo violets,5,15,Open land species,Dry
2003,65,Initiation,D,Ocatranoo,1,15,Open land species,Moderate
2003,65,Initiation,D,Hangonsou,5,75,Open land species,Dry
2003,65,Transport,A,Hangonsou,80,170,Open land species,Dry
2003,65,Transport,A,Akitabuki,30,60,Generalist species,Moderate
2003,65,Transport,A,Miyakozasa,5,40,Generalist species,Moderate
2003,65,Transport,A,Futarishizuka,20,80,Forest species,Wet
2003,65,Transport,A,Aomizu,1,10,Forest species,Wet
2003,65,Transport,A,Inutoubana,30,30,Forest species,Wet
2003,65,Transport,A,Irakusa,10,40,Forest species,Wet
2003,65,Transport,A,Kumaichigo,1,5,Woody species,Woody species
2003,65,Transport,A,Hakobe,1,15,Generalist species,Wet
2003,65,Transport,A,Kikumugura,1,10,Forest species,Moderate
2003,65,Transport,A,Yabuninjin,1,20,Forest species,Wet
2003,65,Transport,A,Nogariyasu,1,15,Generalist species,Moderate
2003,65,Transport,A,Sugina,1,20,Open land species,Dry
2003,65,Transport,A,Tachitsubo violets,1,15,Open land species,Dry
2003,65,Transport,A,Suge SP,5,10,Unknown,Unknown
2003,65,Transport,A,Mizohoozuki,1,10,Generalist species,Wet
2003,65,Transport,A,Oniruriso,1,120,Open land species,Wet
2003,65,Transport,A,Yabumame,1,10,Open land species,Moderate
2003,65,Transport,A,Taranoki,1,80,Woody species,Woody species
2003,65,Transport,B,Hangonsou,20,110,Open land species,Dry
2003,65,Transport,B,Akitabuki,5,40,Generalist species,Moderate
2003,65,Transport,B,Ooawadachisou,1,25,Open land species,Dry
2003,65,Transport,B,Daikonsou,30,40,Forest species,Wet
2003,65,Transport,B,Aomizu,20,10,Forest species,Wet
2003,65,Transport,B,Sugina,20,30,Open land species,Dry
2003,65,Transport,B,Miyakozasa,10,40,Generalist species,Moderate
2003,65,Transport,B,Tachitsubo violets,5,30,Open land species,Dry
2003,65,Transport,B,Suge SP,15,20,Unknown,Unknown
2003,65,Transport,B,Higokusa,5,20,Generalist species,Moderate
2003,65,Transport,B,Mizohoozuki,1,10,Generalist species,Wet
2003,65,Transport,B,Harunire,1,10,Woody species,Woody species
2003,65,Transport,B,Kikumugura,1,5,Forest species,Moderate
2003,65,Transport,B,Yomogi,1,5,Open land species,Dry
2003,65,Transport,B,Yabumame,1,10,Open land species,Moderate
2003,65,Transport,C,Akitabuki,70,100,Generalist species,Moderate
2003,65,Transport,C,Sugina,5,20,Open land species,Dry
2003,65,Transport,C,Ezo Yamazakura,1,5,Woody species,Woody species
2003,65,Transport,C,Inutoubana,1,5,Forest species,Wet
2003,65,Transport,C,Yabumame,1,20,Open land species,Moderate
2003,65,Transport,C,Yachidamo,1,5,Woody species,Woody species
2003,65,Transport,D,Hangonsou,40,150,Open land species,Dry
2003,65,Transport,D,Akitabuki,20,50,Generalist species,Moderate
2003,65,Transport,D,Harunire,1,30,Woody species,Woody species
2003,65,Transport,D,Naniwazu,1,10,Forest species,Moderate
2003,65,Transport,D,Oohangonsou,5,15,Open land species,Moderate
2003,65,Transport,D,Ooawadachisou,1,25,Open land species,Dry
2003,65,Transport,D,Tachitsubo violets,10,10,Open land species,Dry
2003,65,Transport,D,Aomizu,5,25,Forest species,Wet
2003,65,Transport,D,Kikumugura,1,15,Forest species,Moderate
2003,65,Transport,D,Mizohoozuki,1,10,Generalist species,Wet
2003,65,Transport,D,Yomogi,1,30,Open land species,Dry
2003,65,Transport,D,Suge SP,25,20,Unknown,Unknown
2003,65,Transport,D,Sugina,5,10,Open land species,Dry
2003,65,Transport,D,Higokusa,5,20,Generalist species,Moderate
2003,65,Transport,D,Enashihigokusa,10,20,Generalist species,Moderate
2003,65,Transport,D,Kumaichigo,1,20,Woody species,Woody species
2003,65,Transport,D,Miyakozasa,1,30,Generalist species,Moderate
2003,65,Transport,D,Daikonsou,1,20,Forest species,Wet
2003,65,Deposition,A,Hangonsou,20,120,Open land species,Dry
2003,65,Deposition,A,Akitabuki,20,50,Generalist species,Moderate
2003,65,Deposition,A,Miyakozasa,5,40,Generalist species,Moderate
2003,65,Deposition,A,Mizosoba,15,20,Generalist species,Wet
2003,65,Deposition,A,Aomizu,20,10,Forest species,Wet
2003,65,Deposition,A,Otokoeshi,1,5,Open land species,Moderate
2003,65,Deposition,A,Daikonsou,1,10,Forest species,Wet
2003,65,Deposition,A,Yomogi,1,5,Open land species,Dry
2003,65,Deposition,A,Kikumugura,1,5,Forest species,Moderate
2003,65,Deposition,A,Sugina,10,30,Open land species,Dry
2003,65,Deposition,A,Suge SP,25,15,Unknown,Unknown
2003,65,Deposition,A,Yabumame,1,20,Open land species,Moderate
2003,65,Deposition,A,Yabuninjin,1,10,Forest species,Wet
2003,65,Deposition,A,Yamamomiji,1,5,Woody species,Woody species
2003,65,Deposition,A,Otogirisou,1,20,Open land species,Moderate
2003,65,Deposition,A,Ooawadachisou,1,15,Open land species,Dry
2003,65,Deposition,A,Tachitsubo violets,1,1,Open land species,Dry
2003,65,Deposition,A,Mizohoozuki,1,10,Generalist species,Wet
2003,65,Deposition,A,Konronsou,1,5,Forest species,Wet
2003,65,Deposition,B,Hangonsou,1,50,Open land species,Dry
2003,65,Deposition,B,Akitabuki,20,50,Generalist species,Moderate
2003,65,Deposition,B,Mizosoba,20,25,Generalist species,Wet
2003,65,Deposition,B,Tachitsubo violets,10,10,Open land species,Dry
2003,65,Deposition,B,Katabami,1,20,Open land species,Dry
2003,65,Deposition,B,Aomizu,50,10,Forest species,Wet
2003,65,Deposition,B,Yachidamo,1,5,Woody species,Woody species
2003,65,Deposition,B,Inutoubana,1,15,Forest species,Wet
2003,65,Deposition,B,Kikumugura,5,25,Forest species,Moderate
2003,65,Deposition,B,Enashihigokusa,25,50,Generalist species,Moderate
2003,65,Deposition,B,Suge SP,5,20,Unknown,Unknown
2003,65,Deposition,B,Sugina,40,25,Open land species,Dry
2003,65,Deposition,B,Mizohoozuki,1,10,Generalist species,Wet
2003,65,Deposition,B,Oohangonsou,1,10,Open land species,Moderate
2003,65,Deposition,B,Oobako,1,10,Open land species,Dry
2003,65,Deposition,B,Ooawadachisou,1,15,Open land species,Dry
2003,65,Deposition,B,Yabumame,1,10,Open land species,Moderate
2003,65,Deposition,B,Ocatranoo,1,10,Open land species,Moderate
2003,65,Deposition,B,Daikonsou,1,20,Forest species,Wet
2003,65,Deposition,B,Kakidoshi,1,10,Open land species,Moderate
2003,65,Deposition,B,Nagabatsumekusa,1,10,Open land species,Moderate
2003,65,Deposition,B,Seiyotampopo,1,20,Open land species,Dry
2003,65,Deposition,C,Hangonsou,1,5,Open land species,Dry
2003,65,Deposition,C,Ooawadachisou,5,30,Open land species,Dry
2003,65,Deposition,C,Akitabuki,15,50,Generalist species,Moderate
2003,65,Deposition,C,Mizosoba,20,30,Generalist species,Wet
2003,65,Deposition,C,Aomizu,15,15,Forest species,Wet
2003,65,Deposition,C,Irakusa,20,20,Forest species,Wet
2003,65,Deposition,C,Kikumugura,5,20,Forest species,Moderate
2003,65,Deposition,C,Sugina,5,30,Open land species,Dry
2003,65,Deposition,C,Mizuhiki,5,20,Forest species,Wet
2003,65,Deposition,C,Momijigasa,5,10,Forest species,Wet
2003,65,Deposition,C,Kinmizuhiki,1,10,Open land species,Moderate
2003,65,Deposition,C,Higokusa,10,20,Generalist species,Moderate
2003,65,Deposition,C,Suge SP,1,20,Unknown,Unknown
2003,65,Deposition,C,Daikonsou,1,25,Forest species,Wet
2003,65,Deposition,C,Mizohoozuki,1,15,Generalist species,Wet
2003,65,Deposition,C,Fern SP,1,5,Unknown,Unknown
2003,65,Deposition,C,Konronsou,1,15,Forest species,Wet
2003,65,Deposition,C,Nekonomeso,1,10,Forest species,Wet
2003,65,Deposition,C,Kakidoshi,1,5,Open land species,Moderate
2003,65,Deposition,C,Mitsuba,1,20,Forest species,Wet
2003,65,Deposition,D,Yachidamo,5,30,Woody species,Woody species
2003,65,Deposition,D,Yobusumasou,5,50,Forest species,Wet
2003,65,Deposition,D,Akitabuki,40,50,Generalist species,Moderate
2003,65,Deposition,D,Hangonsou,40,130,Open land species,Dry
2003,65,Deposition,D,Momijigasa,20,30,Forest species,Wet
2003,65,Deposition,D,Irakusa,15,20,Forest species,Wet
2003,65,Deposition,D,Kikumugura,5,60,Forest species,Moderate
2003,65,Deposition,D,Ocatranoo,1,15,Open land species,Moderate
2003,65,Deposition,D,Enashihigokusa,30,50,Generalist species,Moderate
2003,65,Deposition,D,Higokusa,5,35,Generalist species,Moderate
2003,65,Deposition,D,Suge SP,20,30,Unknown,Unknown
2003,65,Deposition,D,Sugina,1,15,Open land species,Dry
2003,65,Deposition,D,Konronsou,1,20,Forest species,Wet
2003,65,Deposition,D,Tsurifunesou,1,15,Forest species,Wet
2003,65,Deposition,D,Tachitsubo violets,1,10,Open land species,Dry
2003,65,Deposition,D,Mizuhiki,5,30,Forest species,Wet
2003,65,Deposition,D,Yabuninjin,1,40,Forest species,Wet
2003,65,Deposition,D,Ezo ichigo,1,30,Woody species,Woody species
2003,65,Deposition,D,Fern SP,5,40,Unknown,Unknown
2003,65,Deposition,D,Oshida,10,50,Forest species,Moderate
2003,65,Deposition,D,Nekonomeso,1,10,Forest species,Wet
1981,28,Initiation,A,Miyakozasa,100,60,Generalist species,Moderate
1981,28,Initiation,A,Akitabuki,5,60,Generalist species,Moderate
1981,28,Initiation,A,Yabumame,5,10,Open land species,Moderate
1981,28,Initiation,A,Ezonokusaichigo,5,5,Woody species,Woody species
1981,28,Initiation,A,Tachitsubo violets,1,5,Open land species,Dry
1981,28,Initiation,A,Ooawadachisou,1,40,Open land species,Dry
1981,28,Initiation,A,Asada,1,15,Woody species,Woody species
1981,28,Initiation,A,Yomogi,5,30,Open land species,Dry
1981,28,Initiation,A,Aodamo,1,60,Woody species,Woody species
1981,28,Initiation,A,Mizunara,1,40,Woody species,Woody species
1981,28,Initiation,A,Maizurusou,1,10,Forest species,Wet
1981,28,Initiation,A,Nogariyasu,5,20,Generalist species,Moderate
1981,28,Initiation,A,Suge SP,10,30,Unknown,Unknown
1981,28,Initiation,B,Miyakozasa,80,90,Generalist species,Moderate
1981,28,Initiation,B,Udo,10,120,Open land species,Dry
1981,28,Initiation,B,Aodamo,5,60,Woody species,Woody species
1981,28,Initiation,B,Yamamomiji,1,90,Woody species,Woody species
1981,28,Initiation,B,Nogariyasu,5,40,Generalist species,Moderate
1981,28,Initiation,B,Ooawadachisou,5,40,Open land species,Dry
1981,28,Initiation,B,Akitabuki,1,5,Generalist species,Moderate
1981,28,Initiation,B,Shrubs sp,1,15,Woody species,Woody species
1981,28,Initiation,B,Unknown 1,1,5,Unknown,Unknown
1981,28,Initiation,B,Tachitsubo violets,1,10,Open land species,Dry
1981,28,Initiation,C,Miyakozasa,90,60,Generalist species,Moderate
1981,28,Initiation,C,Akitabuki,10,50,Generalist species,Moderate
1981,28,Initiation,C,Aodamo,1,50,Woody species,Woody species
1981,28,Initiation,D,Miyakozasa,90,80,Generalist species,Moderate
1981,28,Initiation,D,Akitabuki,10,50,Generalist species,Moderate
1981,28,Initiation,D,Yamahagi,5,40,Woody species,Woody species
1981,28,Initiation,D,Aodamo,5,20,Woody species,Woody species
1981,28,Initiation,D,Yomogi,1,5,Open land species,Dry
1981,28,Initiation,D,Kokuwa,1,50,Woody species,Woody species
1981,28,Initiation,D,Vine SP2,1,60,Unknown,Unknown
1981,28,Initiation,D,Tachitsubo violets,1,5,Open land species,Dry
1981,28,Transport,A,Miyakozasa,75,50,Generalist species,Moderate
1981,28,Transport,A,Sugina,5,30,Open land species,Dry
1981,28,Transport,A,Vine SP2,5,105,Unknown,Unknown
1981,28,Transport,A,Unknown 2,1,5,Unknown,Unknown
1981,28,Transport,B,Miyakozasa,100,90,Generalist species,Moderate
1981,28,Transport,B,Sugina,5,20,Open land species,Dry
1981,28,Transport,B,Akitabuki,5,50,Generalist species,Moderate
1981,28,Transport,B,Yamahagi,1,5,Woody species,Woody species
1981,28,Transport,B,Momijigasa,1,5,Forest species,Wet
1981,28,Transport,B,Vine SP2,1,10,Unknown,Unknown
1981,28,Transport,B,Seedling 1,1,10,Woody species,Woody species
1981,28,Transport,C,Miyakozasa,90,80,Generalist species,Moderate
1981,28,Transport,C,Sugina,5,30,Open land species,Dry
1981,28,Transport,C,Akitabuki,5,30,Generalist species,Moderate
1981,28,Transport,C,Yamahagi,1,5,Woody species,Woody species
1981,28,Transport,C,Aomizu,1,5,Forest species,Wet
1981,28,Transport,C,Ooawadachisou,1,70,Open land species,Dry
1981,28,Transport,C,Tsurifunesou,1,30,Forest species,Wet
1981,28,Transport,D,Ooawadachisou,30,80,Open land species,Dry
1981,28,Transport,D,Miyakozasa,20,70,Generalist species,Moderate
1981,28,Transport,D,Aomizu,50,30,Forest species,Wet
1981,28,Transport,D,Tomoesou,5,50,Open land species,Moderate
1981,28,Transport,D,Kourai Tennanshou,1,40,Forest species,Moderate
1981,28,Transport,D,Hangonsou,1,50,Open land species,Dry
1981,28,Transport,D,Sugina,5,20,Open land species,Dry
1981,28,Transport,D,Suge SP,60,30,Unknown,Unknown
1981,28,Transport,D,Nogariyasu,5,40,Generalist species,Moderate
1981,28,Deposition,A,Miyakozasa,80,100,Generalist species,Moderate
1981,28,Deposition,A,Tsurifunesou,10,30,Forest species,Wet
1981,28,Deposition,A,Kikumugura,1,10,Forest species,Moderate
1981,28,Deposition,A,Fern SP,1,5,Unknown,Unknown
1981,28,Deposition,A,Suge SP,5,30,Unknown,Unknown
1981,28,Deposition,A,Nekonomeso,1,5,Forest species,Wet
1981,28,Deposition,A,Akitabuki,5,40,Generalist species,Moderate
1981,28,Deposition,B,Miyakozasa,20,40,Generalist species,Moderate
1981,28,Deposition,B,Momijigasa,40,70,Forest species,Wet
1981,28,Deposition,B,Mizosoba,15,40,Generalist species,Wet
1981,28,Deposition,B,Konronsou,5,30,Forest species,Wet
1981,28,Deposition,B,Fern SP,15,10,Unknown,Unknown
1981,28,Deposition,B,Shrubs sp1,1,20,Woody species,Woody species
1981,28,Deposition,B,Kakidoshi,5,5,Open land species,Moderate
1981,28,Deposition,B,Kikumugura,1,5,Forest species,Moderate
1981,28,Deposition,B,Suge SP,5,30,Unknown,Unknown
1981,28,Deposition,B,Kitsurifune,1,5,Forest species,Wet
1981,28,Deposition,C,Yobusumasou,10,70,Forest species,Wet
1981,28,Deposition,C,Konronsou,10,20,Forest species,Wet
1981,28,Deposition,C,Tsurifunesou,1,20,Forest species,Wet
1981,28,Deposition,C,Momijigasa,10,60,Forest species,Wet
1981,28,Deposition,C,Miyakozasa,10,50,Generalist species,Moderate
1981,28,Deposition,C,Kitsurifune,5,20,Forest species,Wet
1981,28,Deposition,C,Shrubs sp1,1,20,Woody species,Woody species
1981,28,Deposition,C,Nekonomeso,1,5,Forest species,Wet
1981,28,Deposition,C,Ezoitaya,1,5,Woody species,Woody species
1981,28,Deposition,C,Suge SP,1,5,Unknown,Unknown
1981,28,Deposition,D,Miyakozasa,70,60,Generalist species,Moderate
1981,28,Deposition,D,Konronsou,5,30,Forest species,Wet
1981,28,Deposition,D,Tsurifunesou,5,15,Forest species,Wet
1981,28,Deposition,D,Sugina,1,5,Open land species,Dry
1981,28,Deposition,D,Kikumugura,1,5,Forest species,Moderate
1981,28,Deposition,D,Nekonomeso,1,10,Forest species,Wet
1981,28,Deposition,D,Kakidoshi,1,5,Open land species,Moderate
1981,28,Deposition,D,Suge SP,1,20,Unknown,Unknown
1981,28,Deposition,D,Fern SP,5,40,Unknown,Unknown
1981,28,Deposition,D,Fukkisou,5,30,Woody species,Woody species
1981,28,Deposition,D,Irakusa,1,30,Forest species,Wet
1981,28,Deposition,D,Ezonohosobatorikabuto,1,5,Forest species,Wet
1981,28,Deposition,D,Yamamomiji,1,5,Woody species,Woody species
2018,Uryu,Initiation,A,Ooawadachisou,1,30,Open land species,Dry
2018,Uryu,Initiation,A,Kion,5,10,Open land species,Moderate
2018,Uryu,Initiation,A,Himemukashiyomogi,5,5,Open land species,Dry
2018,Uryu,Initiation,A,Ocatranoo,5,10,Open land species,Moderate
2018,Uryu,Initiation,A,Naginata Koju,1,5,Open land species,Dry
2018,Uryu,Initiation,A,Udaikanba,5,10,Woody species,Woody species
2018,Uryu,Initiation,A,Karamatsu,1,5,Woody species,Woody species
2018,Uryu,Initiation,A,Onoe willow,1,5,Woody species,Woody species
2018,Uryu,Initiation,A,Yamahagi,1,10,Woody species,Woody species
2018,Uryu,Initiation,A,Higokusa,5,20,Generalist species,Moderate
2018,Uryu,Initiation,B,Akitabuki,10,20,Generalist species,Moderate
2018,Uryu,Initiation,B,Seitakaawadachisou,5,50,Open land species,Dry
2018,Uryu,Initiation,B,Ooawadachisou,1,20,Open land species,Dry
2018,Uryu,Initiation,B,Kion,10,15,Open land species,Moderate
2018,Uryu,Initiation,B,Higokusa,20,20,Generalist species,Moderate
2018,Uryu,Initiation,B,Suge SP,1,10,Unknown,Unknown
2018,Uryu,Initiation,B,Noborogiku,1,20,Open land species,Dry
2018,Uryu,Initiation,B,Amerika Oniazami,1,50,Open land species,Dry
2018,Uryu,Initiation,B,Himemukashiyomogi,5,30,Open land species,Dry
2018,Uryu,Initiation,B,Udaikanba,1,5,Woody species,Woody species
2018,Uryu,Initiation,B,Yabutabako,1,5,Open land species,Moderate
2018,Uryu,Initiation,B,Tanisoba,1,5,Open land species,Wet
2018,Uryu,Initiation,B,Matatabi,1,5,Woody species,Woody species
2018,Uryu,Initiation,B,Karamatsu,1,15,Woody species,Woody species
2018,Uryu,Initiation,B,Sansho,1,5,Woody species,Woody species
2018,Uryu,Initiation,B,Suge SP2,1,10,Unknown,Unknown
2018,Uryu,Initiation,B,Futarishizuka,1,5,Forest species,Wet
2018,Uryu,Initiation,C,Ikema,1,20,Open land species,Dry
2018,Uryu,Initiation,C,Amerika Oniazami,1,1,Open land species,Dry
2018,Uryu,Initiation,C,Seitakaawadachisou,1,30,Open land species,Dry
2018,Uryu,Initiation,C,Ooawadachisou,1,25,Open land species,Dry
2018,Uryu,Initiation,C,Kion,5,10,Open land species,Moderate
2018,Uryu,Initiation,C,Himemukashiyomogi,5,20,Open land species,Dry
2018,Uryu,Initiation,C,Udaikanba,1,5,Woody species,Woody species
2018,Uryu,Initiation,C,Kumaichigo,1,20,Woody species,Woody species
2018,Uryu,Initiation,C,Yamaguwa,1,5,Woody species,Woody species
2018,Uryu,Initiation,C,Noborogiku,1,10,Open land species,Dry
2018,Uryu,Initiation,C,Higokusa,5,20,Generalist species,Moderate
2018,Uryu,Initiation,C,Akitabuki,1,5,Generalist species,Moderate
2018,Uryu,Initiation,C,Futarishizuka,1,5,Forest species,Wet
2018,Uryu,Initiation,D,Kion,1,10,Open land species,Moderate
2018,Uryu,Initiation,D,Himemukashiyomogi,1,1,Open land species,Dry
2018,Uryu,Transport,A,Ooawadachisou,5,50,Open land species,Dry
2018,Uryu,Transport,A,Seitakaawadachisou,5,40,Open land species,Dry
2018,Uryu,Transport,A,Karamatsu,10,20,Woody species,Woody species
2018,Uryu,Transport,A,Akitabuki,5,10,Generalist species,Moderate
2018,Uryu,Transport,A,Udaikanba,1,5,Woody species,Woody species
2018,Uryu,Transport,A,Chishimaazami,1,10,Open land species,Moderate
2018,Uryu,Transport,A,Sansho,1,5,Woody species,Woody species
2018,Uryu,Transport,A,Himemukashiyomogi,5,40,Open land species,Dry
2018,Uryu,Transport,A,Ocatranoo,1,5,Open land species,Moderate
2018,Uryu,Transport,A,Amerika Oniazami,1,1,Open land species,Dry
2018,Uryu,Transport,A,Higokusa,20,20,Generalist species,Moderate
2018,Uryu,Transport,A,Kion,1,5,Open land species,Moderate
2018,Uryu,Transport,A,Naginata Koju,1,5,Open land species,Dry
2018,Uryu,Transport,B,Taranoki,5,10,Woody species,Woody species
2018,Uryu,Transport,B,Akitabuki,5,5,Generalist species,Moderate
2018,Uryu,Transport,B,Seitakaawadachisou,5,80,Open land species,Dry
2018,Uryu,Transport,B,Ooawadachisou,5,40,Open land species,Dry
2018,Uryu,Transport,B,Udaikanba,1,5,Woody species,Woody species
2018,Uryu,Transport,B,Ebigaraichigo,5,20,Woody species,Woody species
2018,Uryu,Transport,B,Himemukashiyomogi,1,10,Open land species,Dry
2018,Uryu,Transport,B,Poaceae SP,1,20,Unknown,Unknown
2018,Uryu,Transport,B,Tanisoba,1,1,Open land species,Wet
2018,Uryu,Transport,B,Shrubs sp2,1,5,Woody species,Woody species
2018,Uryu,Transport,B,Aodamo,1,5,Woody species,Woody species
2018,Uryu,Transport,B,Hangonsou,1,50,Open land species,Dry
2018,Uryu,Transport,B,Higokusa,20,20,Generalist species,Moderate
2018,Uryu,Transport,B,Suge SP2,5,5,Unknown,Unknown
2018,Uryu,Transport,B,Harutade,1,5,Open land species,Dry
2018,Uryu,Transport,B,Otokoeshi,1,1,Open land species,Moderate
2018,Uryu,Transport,C,Akitabuki,20,30,Generalist species,Moderate
2018,Uryu,Transport,C,Ooawadachisou,1,40,Open land species,Dry
2018,Uryu,Transport,C,Seitakaawadachisou,1,20,Open land species,Dry
2018,Uryu,Transport,C,Ocatranoo,1,10,Open land species,Moderate
2018,Uryu,Transport,C,Yamahagi,1,10,Woody species,Woody species
2018,Uryu,Transport,C,Kumaichigo,1,5,Woody species,Woody species
2018,Uryu,Transport,C,Seiyotampopo,1,5,Open land species,Dry
2018,Uryu,Transport,C,Kion,1,5,Open land species,Moderate
2018,Uryu,Transport,D,Miyakozasa,10,50,Generalist species,Moderate
2018,Uryu,Transport,D,Seitakaawadachisou,5,110,Open land species,Dry
2018,Uryu,Transport,D,Akitabuki,20,20,Generalist species,Moderate
2018,Uryu,Transport,D,Tanisoba,10,5,Open land species,Wet
2018,Uryu,Transport,D,Otokoeshi,5,5,Open land species,Moderate
2018,Uryu,Transport,D,Tsurunigakusa,15,15,Forest species,Wet
2018,Uryu,Transport,D,Kohakobe,1,10,Open land species,Wet
2018,Uryu,Transport,D,Nomurasaki,1,60,Open land species,Dry
2018,Uryu,Transport,D,Yabutabako,1,5,Open land species,Moderate
2018,Uryu,Transport,D,Higokusa,10,20,Generalist species,Moderate
2018,Uryu,Transport,D,Suge SP2,10,20,Unknown,Unknown
2018,Uryu,Transport,D,Himemukashiyomogi,5,10,Open land species,Dry
2018,Uryu,Transport,D,Ainutachitsubo violets,5,5,Generalist species,Dry
2018,Uryu,Transport,D,Poaceae sp2,1,5,Unknown,Unknown
2018,Uryu,Transport,D,Ocatranoo,1,10,Open land species,Moderate
2018,Uryu,Transport,D,Miminagusa,1,1,Open land species,Dry
2018,Uryu,Transport,D,Taranoki,5,40,Woody species,Woody species
2018,Uryu,Transport,D,Udaikanba,1,10,Woody species,Woody species
2018,Uryu,Transport,D,Okukuruma Mugura,1,5,Forest species,Wet
2018,Uryu,Transport,D,Ooyomogi,5,20,Open land species,Dry
2018,Uryu,Transport,D,Hangonsou,1,40,Open land species,Dry
2018,Uryu,Transport,D,Ooawadachisou,1,50,Open land species,Dry
2018,Uryu,Deposition,A,Akitabuki,5,10,Generalist species,Moderate
2018,Uryu,Deposition,A,Himemukashiyomogi,5,15,Open land species,Dry
2018,Uryu,Deposition,A,Seitakaawadachisou,1,30,Open land species,Dry
2018,Uryu,Deposition,A,Ooawadachisou,1,50,Open land species,Dry
2018,Uryu,Deposition,A,Tanisoba,1,5,Open land species,Wet
2018,Uryu,Deposition,A,Poaceae sp2,1,10,Unknown,Unknown
2018,Uryu,Deposition,A,Shiroza,1,10,Open land species,Moderate
2018,Uryu,Deposition,A,Naginata Koju,1,5,Open land species,Dry
2018,Uryu,Deposition,A,Harutade,1,5,Open land species,Dry
2018,Uryu,Deposition,A,Asteraceae sp1,1,5,Unknown,Unknown
2018,Uryu,Deposition,A,Sugina,1,10,Open land species,Dry
2018,Uryu,Deposition,A,Kurumabana,1,15,Open land species,Moderate
2018,Uryu,Deposition,A,Ezo ooyamahakobe,1,5,Open land species,Wet
2018,Uryu,Deposition,B,Ooawadachisou,60,200,Open land species,Dry
2018,Uryu,Deposition,B,Ooyomogi,50,180,Open land species,Dry
2018,Uryu,Deposition,B,Sugina,5,40,Open land species,Dry
2018,Uryu,Deposition,B,Ocatranoo,1,120,Open land species,Moderate
2018,Uryu,Deposition,B,Chishimaazami,1,80,Open land species,Moderate
2018,Uryu,Deposition,C,Ooawadachisou,40,120,Open land species,Dry
2018,Uryu,Deposition,C,Seitakaawadachisou,1,80,Open land species,Dry
2018,Uryu,Deposition,C,Himemukashiyomogi,1,20,Open land species,Dry
2018,Uryu,Deposition,C,Ezo ooyamahakobe,5,50,Open land species,Wet
2018,Uryu,Deposition,C,Yamahagi,1,10,Woody species,Woody species
2018,Uryu,Deposition,C,Inutoubana,1,15,Forest species,Wet
2018,Uryu,Deposition,C,Akaso,1,10,Forest species,Wet
2018,Uryu,Deposition,C,Kumaichigo,1,30,Woody species,Woody species
2018,Uryu,Deposition,C,Ooyomogi,10,60,Open land species,Dry
2018,Uryu,Deposition,C,Ezoyama thistle,1,70,Open land species,Moderate
