Site,Lake,Season,Arable-1,forest-1,urban-1,Area,Perimeter,Max depth,WD,SD,DO,TP,TN,Chla,WT,Awood,Ajapo,Baeru,Bpuri,Csine,Cerat,Chaob,Cdors,Ckiie,Cplum,Csini,Cchin,Cedwa,Cdipt,Diplo,Etene,Eshen,Ephem,Gtrun,Glata,Gpost,Gprye,Hstag,Ilybi,Lambl,Lclap,Lhoff,Ludek,Mamph,Neure,Penta,Pflav,Pculi,Pakam,Rovat,Samur,Spani,Tchin,Tvili,Ttubi,Udoug,Vpisc,Vchui,Whitm
au3,B,Autumn,0.455,0.305,0.027,3368983.02,14484.62656,9.1,7,1.9,10.3,0.07,0.92,8.21,14.5,0,0,12,0,0,0,2,32,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1.066666667,0,0,0,23.333,30,0,0,0,0,0,36,0,0,0,6,24,0,0,0,0,37.33333333
au4,B,Autumn,0.455,0.305,0.027,3368983.02,14484.62656,9.1,6.8,2.1,11,0.08,1.1,8.15,14.5,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,38.4,6.4,0,0,0,0,0
sp5,C,Spring,0.511,0.263,0.043,10580271.16,39433.22075,12,4,0.7,8.19,0.35,0.88,10.541,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,48,0,0,0,0,0,0,0,0,160,0,0,0,0
sp6,C,Spring,0.511,0.263,0.043,10580271.16,39433.22075,12,4.3,0.7,8.2,0.39,0.9,13.013,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,16,0,0,0,16,16,0,48,0,16,0,0,0,0,0,0,0,0,16,0,48,0,0
sp7,C,Spring,0.511,0.263,0.043,10580271.16,39433.22075,12,4.8,0.8,8.2,0.38,0.88,20.087,15,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4,86.4,172.8,0,0,0,16,0,0,0,0,0,32,0,0,86.4,0,0,0,0
sp8,C,Spring,0.511,0.263,0.043,10580271.16,39433.22075,12,4.5,0.8,8.21,0.37,0.92,26.659,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,48,0,0,0,0,0,16,0,0,48,0,0,0,0
sp9,C,Spring,0.511,0.263,0.043,10580271.16,39433.22075,12,5,0.7,8.2,0.41,0.88,31.02,15,16,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.15384615,54.15384615,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
su5,C,Summer,0.511,0.263,0.043,10580271.16,39433.22075,12,9.2,0.9,9.3,0.43,1.42,28.863,21,5.333333333,0,0,0,0,0,0,5.333333333,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333,0,0,0,0,10.66666667,32,0,0,5.333333333,0,0,0,0,0,0,0,0,0,64,0,0,0,0
su6,C,Summer,0.511,0.263,0.043,10580271.16,39433.22075,12,11,0.8,9.2,0.49,1.38,28.65,20.9,0,0,0,0,0,0,0,32,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,9.6,0,0,0,0,0,16,0,0,0,0,0,0,32,0,0,0,0
su7,C,Summer,0.511,0.263,0.043,10580271.16,39433.22075,12,8.9,0.9,9.4,0.41,1.28,29.814,21,0,0,0,0,0,0,0,24,8,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,32,0,0,0,0
su8,C,Summer,0.511,0.263,0.043,10580271.16,39433.22075,12,8.8,0.85,10,0.42,1.3,24.156,21.1,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0
su9,C,Summer,0.511,0.263,0.043,10580271.16,39433.22075,12,10,0.9,10.4,0.43,1.24,19.608,21.3,0,0,0,0,0,0,0,32,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,0,0,0,0,0,12,0,0,0,0,0,0,108,0,0,0,0
au5,C,Autumn,0.511,0.263,0.043,10580271.16,39433.22075,12,7.5,1.7,11.1,0.22,1.28,7.0396,14,0,0,0,0,0,0,0,74.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.3333333,192,0,0,0,0,0,0,0,0,0,53.33333333,16,0,0,0,0,0
au6,C,Autumn,0.511,0.263,0.043,10580271.16,39433.22075,12,7,1.75,11.5,0.21,1.3,4.4088,14.1,0,0,0.64,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,6.4,0,0,0,0,0,3.2,0,0.64,0,0,6.4,0,0.64,0,0,0
au7,C,Autumn,0.511,0.263,0.043,10580271.16,39433.22075,12,6.2,1.7,11.1,0.23,1.15,11.028,14.5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,8,0,0,0,0,20,0,0,0,0,0
au8,C,Autumn,0.511,0.263,0.043,10580271.16,39433.22075,12,8.1,1.82,12.2,0.21,1.2,5.6076,14.6,0,0,0,3.2,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,102.4,0,0,0,0,0,0,0,0,0,51.2,25.6,0,0,0,0,0
au9,C,Autumn,0.511,0.263,0.043,10580271.16,39433.22075,12,7.5,1.64,11.9,0.22,1.27,6.3844,14.5,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,110,0,0,0,0,0,32,0,0,0,0,48,0,0,0,0,0
sp10,D,Spring,0.542,0.179,0.037,477580.5346,4476.790408,5,2.8,0.5,7.09,0.27,1.09,21.3,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0
sp11,D,Spring,0.542,0.179,0.037,477580.5346,4476.790408,5,2.6,0.6,7.09,0.28,1.12,22.5,14.2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0
su10,D,Summer,0.542,0.179,0.037,477580.5346,4476.790408,5,4.8,0.5,7.15,0.17,1.79,26.62,19.8,0,0,0,0,0,0,0,42,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
su11,D,Summer,0.542,0.179,0.037,477580.5346,4476.790408,5,4.5,0.5,7.5,0.22,1.84,29.3,19.7,0,0,0,0,0,0,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
au10,D,Autumn,0.542,0.179,0.037,477580.5346,4476.790408,5,3.9,1.3,9.2,0.151,0.93,4.15,13.5,0,0,0,0,0,0,22,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
au11,D,Autumn,0.542,0.179,0.037,477580.5346,4476.790408,5,3,1.3,8.9,0.17,1.03,5.62,13.5,0,0,0,0,0,0,15,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp12,E,Spring,0.523,0.183,0.026,5881540.745,21897.40641,6,3.6,0.5,7.56,0.48,1.43,15.52,14,0,0,0,0,0,0,0,0,972,0,320,0,0,0,236,0,56,0,0,0,0,0,12,4,13,34,24,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,32
sp13,E,Spring,0.523,0.183,0.026,5881540.745,21897.40641,6,3,0.5,7.56,0.51,1.51,16.1,14.2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,400,256,0,0,0,912,0,0,720,0,0,0,0,0,0,0,0,0,0
sp14,E,Spring,0.523,0.183,0.026,5881540.745,21897.40641,6,3.2,0.5,7.56,0.51,1.38,15.8,14.2,0,0,0,0,0,0,144,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,736,400,0,0,0,1888,0,16,0,0,0,0,0,0,752,0,0,0,0
su12,E,Summer,0.523,0.183,0.026,5881540.745,21897.40641,6,5.5,0.45,8.13,1.1,2.4,36.59,18.8,0,0,12,0,0,8,0,160,116,0,0,20,56,0,16,0,0,4,0,0,4,0,0,0,128,0,40,0,0,8,0,0,0,0,48,0,0,0,0,56,0,4,0,8
su13,E,Summer,0.523,0.183,0.026,5881540.745,21897.40641,6,5,0.4,8.13,1.2,2.5,33.59,19.8,0,0,12,0,0,8,0,171,93,0,0,18,20,0,10,0,0,6,0,0,5,0,0,0,128,0,15,0,0,8,0,0,0,0,15,0,0,0,0,30,0,1,0,9
su14,E,Summer,0.523,0.183,0.026,5881540.745,21897.40641,6,5,0.43,8.13,1.1,2.43,37.81,19.8,0,0,10,0,0,8,0,155,155,0,0,25,17,0,8,0,0,2,0,0,2,0,0,0,179,0,8,0,0,8,0,0,0,0,20,0,0,0,0,22,0,1,0,15
au12,E,Autumn,0.523,0.183,0.026,5881540.745,21897.40641,6,4.1,1.75,10.08,0.2,0.81,6.5,13,0,0,0,0,0,4,60,736,0,0,0,0,0,0,0,0,56,0,0,0,0,0,12,4,0,0,0,92,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,32
au13,E,Autumn,0.523,0.183,0.026,5881540.745,21897.40641,6,3.6,2,11.5,0.18,0.85,10.5,13.5,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,12,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,25
au14,E,Autumn,0.523,0.183,0.026,5881540.745,21897.40641,6,3.6,1.8,10.1,0.22,0.84,12.3,13.7,0,0,0,0,0,0,20,251,0,0,0,0,0,0,0,0,30,0,0,0,0,0,12,1,0,0,0,92,0,0,0,0,0,2,0,0,0,0,441,0,0,0,0,32
